# MISSION PROFILE DATA
# Timestamp: 2026-05-02 15:28:14
# Deep Target: 2.50 m
# Shallow Target: 0.40 m
# Profile Count: 1
# Arrival Tolerance: 0.10 m
# Hold Duration: 30 s
# PID: P=1200.00, I=150.00, D=600.00
# Neutral ADC: 1750
# Bounds: 0 to 4095
# Depth Offset: -0.125 m
# ------------------------------------------
Time (s),Depth (m),Actuator (ADC),Target (ADC)
0.00,0.080,1754,1750
1.00,0.200,1419,0
2.01,0.260,1006,0
3.02,0.280,574,0
4.03,0.340,203,0
5.04,0.410,121,0
6.05,0.500,122,0
7.06,0.600,121,0
8.07,0.710,120,0
9.08,0.840,121,0
10.09,0.990,119,27
11.09,1.150,129,223
12.09,1.320,289,435
13.09,1.500,454,661
14.09,1.690,640,892
15.10,1.880,845,1124
16.10,2.070,1059,1328
17.10,2.270,1237,1509
18.10,2.460,1421,1718
19.10,2.640,1596,1937
20.10,2.810,1804,2168
21.10,2.970,2011,2407
22.10,3.110,2252,2649
23.11,3.230,2475,2889
24.11,3.340,2696,3122
25.11,3.420,2909,3333
26.11,3.470,3133,3518
27.11,3.490,3354,3667
28.11,3.470,3522,3783
29.11,3.420,3684,3845
30.11,3.340,3791,3856
31.11,3.220,3798,3803
32.12,3.080,3758,3716
33.12,2.910,3657,3587
34.12,2.740,3481,3415
35.12,2.550,3296,3213
36.12,2.370,3086,2985
37.12,2.190,2861,2740
38.12,2.020,2630,2480
39.12,1.860,2217,892
40.12,1.720,1732,738
41.12,1.610,1291,619
42.12,1.520,864,539
43.12,1.480,546,514
44.12,1.480,510,545
45.13,1.530,557,617
46.13,1.600,668,733
47.13,1.710,777,879
48.13,1.850,901,1049
49.13,2.000,1048,1240
50.13,2.170,1190,1390
51.14,2.350,1338,1575
52.14,2.530,1505,1791
53.14,2.720,1691,2040
54.14,2.910,1900,2317
55.14,3.100,2135,2612
56.14,3.280,2384,2924
57.14,3.440,2645,3246
58.15,3.590,2881,3568
59.15,3.610,3116,3649
60.15,3.570,3368,3763
61.15,3.520,3558,3847
62.15,3.450,3735,3902
63.15,3.360,3845,3923
64.15,3.260,3893,3918
65.15,3.150,3872,3879
66.16,3.030,3873,3819
67.16,2.890,3756,3712
68.16,2.750,3660,3588
69.16,2.610,3513,3448
70.16,2.470,3353,3287
71.17,2.330,3180,3099
72.17,2.190,2991,2900
73.17,2.060,2795,2694
74.17,1.950,2485,1023
75.18,1.850,1992,920
76.18,1.780,1526,847
77.18,1.740,1112,820
78.18,1.740,840,854
79.18,1.790,878,935
80.18,1.870,975,1061
81.19,1.990,1090,1221
82.19,2.140,1197,1346
83.19,2.300,1317,1511
84.19,2.490,1466,1729
85.19,2.680,1634,1982
86.19,2.880,1841,2269
87.19,3.080,2079,2586
88.19,3.290,2344,2928
89.19,3.480,2600,3287
90.19,3.650,2855,3640
91.19,3.610,3091,3643
92.19,3.580,3344,3768
93.20,3.550,3560,3886
94.20,3.500,3752,3977
95.20,3.440,3899,4039
96.20,3.360,3981,4072
97.20,3.270,3980,4076
98.20,3.170,3980,4052
99.21,3.050,3980,4003
100.21,2.940,3931,3938
101.22,2.820,3889,3836
102.22,2.680,3789,3711
103.22,2.550,3642,3565
104.22,2.410,3468,3397
105.22,2.280,3301,3227
106.22,2.160,3110,3033
107.22,2.040,2933,2844
108.22,1.940,2623,1012
109.22,1.850,2144,915
110.23,1.780,1662,858
111.23,1.750,1227,845
112.23,1.770,903,890
113.23,1.830,924,991
114.23,1.930,1020,1139
115.23,2.070,1131,1290
116.23,2.230,1252,1455
117.24,2.420,1401,1668
118.24,2.630,1572,1923
119.24,2.840,1789,2215
120.24,3.050,2014,2541
121.25,3.260,2286,2888
122.25,3.470,2553,3260
123.25,3.660,2793,3643
124.25,3.650,3014,3687
125.25,3.640,3265,3847
126.26,3.630,3499,4010
127.26,3.610,3739,4095
128.26,3.590,3910,4095
129.27,3.540,3982,4095
130.28,3.490,3929,4095
131.29,3.410,3918,4095
132.30,3.330,3961,4095
133.31,3.230,3978,4095
134.32,3.120,3974,4095
135.33,3.010,3934,4095
136.34,2.880,3934,4095
137.35,2.750,3934,4095
138.36,2.460,3934,4095
139.37,1.910,3934,4095
140.38,1.390,3934,4095
141.39,0.740,3934,4095
142.40,0.180,3934,4095
143.41,0.060,3934,4095
