# MISSION PROFILE DATA
# Timestamp: 2026-06-13 01:16:21
# Deep Target: -- m
# Shallow Target: -- m
# Profile Count: --
# Arrival Tolerance: -- m
# Hold Duration: -- s
# PID: P=--, I=--, D=--
# Neutral ADC: --
# Bounds: -- to --
# Depth Offset: -- m
# ------------------------------------------
Time (s),Depth (m),Pressure (kPa),Actuator (ADC),Target (ADC)
0.00,0.003,101.36,3971,4095
0.04,0.000,101.33,3971,4095
0.15,0.000,101.33,3968,4095
0.28,0.000,101.33,3966,0
0.36,0.000,101.33,3937,0
0.50,0.001,101.34,3883,0
0.66,0.002,101.34,3831,0
0.67,0.000,101.33,3782,0
0.79,0.002,101.34,3734,0
0.89,0.000,101.33,3685,0
1.05,0.000,101.33,3635,0
1.05,0.000,101.33,3586,0
1.15,0.000,101.33,3548,0
1.25,0.002,101.35,3501,0
1.41,0.000,101.33,3454,0
1.49,0.000,101.33,3406,925
1.62,0.002,101.34,3364,925
1.65,0.000,101.33,3317,925
1.75,0.003,101.35,3269,925
1.85,0.002,101.35,3219,925
1.98,0.000,101.33,3168,925
2.07,0.000,101.33,3119,925
2.20,0.001,101.33,3068,925
2.26,0.000,101.33,3021,925
2.36,0.003,101.35,2975,925
2.46,0.000,101.33,2930,925
2.62,0.002,101.34,2888,925
2.70,0.000,101.33,2848,925
2.84,0.002,101.34,2807,925
2.86,0.003,101.35,2764,925
2.96,0.000,101.33,2718,925
3.06,0.000,101.33,2670,925
3.23,0.000,101.33,2621,925
3.32,0.001,101.33,2573,925
3.37,0.002,101.34,2534,925
3.46,0.003,101.35,2487,925
3.56,0.001,101.34,2441,925
3.66,0.003,101.36,2394,925
3.77,0.002,101.34,2346,925
3.88,0.000,101.33,2299,925
4.00,0.000,101.33,2249,925
4.09,0.000,101.33,2203,925
4.17,0.000,101.33,2154,925
4.27,0.000,101.33,2106,925
4.37,0.000,101.33,2057,925
4.48,0.000,101.33,2006,925
4.61,0.000,101.33,1959,925
4.72,0.001,101.34,1909,925
4.77,0.000,101.33,1862,925
4.87,0.000,101.33,1814,925
4.97,0.005,101.37,1770,925
5.11,0.003,101.36,1722,925
5.18,0.002,101.34,1675,925
5.31,0.004,101.37,1627,925
5.37,0.002,101.35,1580,925
5.47,0.008,101.41,1534,925
5.57,0.008,101.40,1493,925
5.72,0.010,101.42,1446,925
