# MISSION PROFILE DATA
# Timestamp: 2026-06-18 17:26:29
# Deep Target: 1.40 m
# Shallow Target: 0.40 m
# Profile Count: 1
# Arrival Tolerance: 0.33 m
# Hold Duration: 20 s
# PID: P=8.00, I=800.00, D=0.20
# Neutral ADC: 1615
# Bounds: 120 to 3900
# Depth Offset: -0.095 m
# ------------------------------------------
Time (s),Depth (m),Pressure (kPa),Actuator (ADC),Target (ADC)
0.00,0.000,101.33,3933,120
0.20,0.000,101.33,3790,120
0.20,0.001,101.34,3846,120
0.39,0.000,101.33,3682,120
0.39,0.001,101.34,3737,120
0.49,-0.002,101.30,3630,120
0.59,-0.003,101.30,3584,120
0.69,-0.004,101.29,3541,120
0.79,-0.000,101.32,3495,120
0.89,0.001,101.33,3445,120
0.99,0.003,101.35,3398,120
1.09,-0.004,101.29,3350,120
1.29,-0.001,101.31,3300,120
1.39,-0.001,101.32,3199,120
1.49,-0.003,101.30,3148,120
1.59,0.003,101.36,3099,120
1.69,-0.002,101.31,3048,120
1.99,-0.000,101.32,2999,120
1.99,-0.002,101.30,2952,120
2.09,0.000,101.33,2865,120
2.28,-0.001,101.32,2824,120
2.49,0.000,101.33,2693,120
2.49,-0.003,101.30,2737,120
2.59,0.002,101.34,2642,120
2.69,0.002,101.34,2591,120
2.79,-0.002,101.31,2544,120
2.99,-0.002,101.30,2454,120
2.99,-0.000,101.32,2502,120
3.09,0.001,101.34,2406,120
3.19,-0.000,101.32,2359,120
3.29,0.001,101.34,2310,120
3.39,0.002,101.34,2261,120
3.49,0.002,101.35,2212,120
3.59,0.001,101.33,2161,120
3.69,0.003,101.36,2111,120
3.80,0.002,101.34,2061,120
3.93,-0.001,101.32,2008,120
4.08,0.000,101.33,1960,120
4.09,0.001,101.34,1910,120
4.19,0.001,101.34,1861,120
4.38,-0.002,101.30,1814,120
4.49,-0.003,101.29,1719,120
4.68,0.002,101.34,1767,120
4.68,0.003,101.35,1673,120
4.69,0.001,101.33,1622,120
4.79,0.002,101.35,1575,120
4.89,0.000,101.33,1531,120
5.03,0.004,101.37,1488,120
5.10,-0.001,101.31,1440,120
5.39,0.002,101.34,1350,120
5.44,0.003,101.35,1395,120
5.45,0.005,101.37,1303,120
5.49,0.002,101.35,1257,120
5.84,0.006,101.38,1114,120
6.30,0.019,101.51,1064,120
6.31,0.018,101.50,967,120
6.31,0.019,101.51,917,120
6.31,0.020,101.52,1018,120
