# MISSION PROFILE DATA
# Timestamp: 2026-06-18 18:32:54
# Deep Target: 2.50 m
# Shallow Target: 0.40 m
# Profile Count: 1
# Arrival Tolerance: 0.33 m
# Hold Duration: 20 s
# PID: P=30.00, I=0.00, D=0.00
# Neutral ADC: 1609
# Bounds: 120 to 3900
# Depth Offset: -0.095 m
# ------------------------------------------
Time (s),Depth (m),Pressure (kPa),Actuator (ADC),Target (ADC),State
0.00,0.000,101.33,228,120,2
0.00,-0.000,101.32,236,120,2
0.15,0.001,101.33,200,120,2
0.22,0.002,101.34,171,120,2
0.38,0.005,101.38,166,120,2
0.39,0.008,101.40,164,120,2
0.51,0.011,101.44,163,120,2
0.73,0.022,101.55,163,120,2
0.73,0.023,101.56,162,120,2
0.85,0.030,101.62,162,120,2
0.91,0.035,101.68,162,120,2
1.06,0.047,101.80,162,120,2
1.09,0.051,101.84,162,120,2
1.19,0.059,101.92,162,120,2
1.39,0.079,102.12,162,120,2
1.39,0.079,102.13,161,120,2
1.49,0.090,102.23,161,120,2
1.59,0.103,102.36,161,120,2
1.69,0.116,102.49,161,120,2
1.84,0.137,102.70,161,120,2
1.90,0.145,102.79,162,120,2
2.04,0.165,102.99,160,120,2
2.09,0.173,103.07,161,120,2
2.25,0.198,103.32,166,120,2
2.30,0.207,103.41,169,120,2
2.44,0.230,103.65,168,120,2
2.49,0.240,103.75,168,120,2
2.59,0.258,103.92,168,120,2
2.69,0.276,104.11,168,120,2
2.86,0.306,104.42,168,120,2
2.90,0.316,104.51,168,120,2
3.04,0.344,104.80,168,120,2
3.09,0.354,104.90,168,120,2
3.27,0.388,105.24,167,120,2
3.32,0.402,105.38,168,120,2
3.46,0.431,105.67,167,120,2
3.49,0.438,105.74,167,120,2
3.59,0.459,105.96,168,120,2
3.69,0.482,106.19,167,120,2
3.84,0.512,106.50,168,120,2
3.92,0.534,106.72,168,120,2
4.05,0.563,107.00,168,120,2
4.09,0.574,107.12,164,120,2
4.22,0.603,107.41,162,120,2
4.40,0.646,107.84,162,120,2
4.40,0.647,107.86,162,120,2
4.49,0.668,108.07,161,120,2
4.59,0.691,108.30,161,120,2
4.69,0.716,108.55,161,120,2
4.83,0.751,108.90,161,120,2
5.01,0.767,109.06,161,120,2
5.02,0.798,109.38,160,120,2
5.09,0.816,109.56,161,120,2
5.25,0.855,109.95,160,120,2
5.41,0.896,110.37,159,120,2
5.41,0.896,110.37,158,120,2
5.49,0.918,110.59,159,120,2
5.59,0.943,110.84,160,120,2
5.70,0.971,111.12,159,120,2
5.82,1.003,111.45,160,120,2
5.93,1.032,111.74,160,120,2
5.99,1.047,111.89,160,120,2
6.09,1.073,112.15,159,120,2
6.19,1.100,112.43,160,120,2
6.36,1.143,112.86,163,120,2
6.40,1.153,112.96,169,120,2
6.52,1.186,113.29,170,120,2
6.59,1.206,113.49,170,120,2
6.72,1.238,113.82,170,120,2
6.81,1.263,114.07,169,120,2
6.94,1.299,114.43,170,120,2
6.99,1.311,114.56,170,120,2
7.09,1.339,114.84,170,120,2
7.19,1.366,115.11,170,120,2
7.29,1.393,115.38,170,120,2
7.45,1.436,115.82,170,120,2
7.50,1.449,115.94,170,120,2
7.64,1.487,116.33,170,120,2
7.74,1.513,116.59,170,120,2
7.80,1.528,116.74,170,120,2
7.92,1.560,117.07,170,120,2
7.99,1.582,117.29,170,120,2
8.09,1.608,117.55,169,120,2
8.19,1.635,117.82,170,120,2
8.29,1.663,118.10,170,120,2
8.43,1.700,118.48,170,120,2
8.65,1.758,119.07,170,120,2
8.65,1.759,119.08,169,120,2
8.69,1.771,119.20,170,120,2
8.83,1.808,119.57,169,120,2
9.03,1.862,120.11,169,120,2
9.03,1.863,120.12,169,120,2
9.09,1.880,120.30,169,120,2
9.19,1.907,120.57,169,120,2
9.31,1.940,120.90,169,120,2
9.40,1.963,121.13,169,120,2
9.51,1.994,121.45,170,120,2
9.59,2.017,121.67,169,120,2
9.75,2.056,122.07,169,120,2
9.81,2.074,122.25,169,120,2
9.94,2.111,122.63,169,120,2
9.99,2.126,122.77,169,120,2
10.09,2.153,123.05,169,120,2
10.19,2.180,123.33,169,120,2
10.30,2.209,123.62,170,120,2
10.43,2.243,123.96,169,120,2
10.56,2.280,124.33,170,120,2
10.59,2.289,124.43,169,120,2
10.74,2.330,124.83,169,120,2
10.92,2.380,125.34,170,120,2
10.92,2.379,125.34,169,120,2
10.99,2.399,125.54,168,120,2
11.09,2.428,125.83,169,120,2
11.19,2.455,126.10,169,120,2
11.29,2.482,126.37,169,120,2
11.39,2.508,126.64,169,120,2
11.52,2.545,127.01,169,120,2
11.66,2.582,127.38,169,120,2
11.76,2.608,127.64,169,120,2
11.80,2.620,127.77,168,120,2
11.95,2.660,128.16,169,120,2
11.99,2.673,128.30,169,120,2
