# MISSION PROFILE DATA
# Timestamp: 2026-06-18 18:36:13
# Deep Target: 2. m
# Shallow Target: 0.40 m
# Profile Count: 1
# Arrival Tolerance: 0.33 m
# Hold Duration: 20 s
# PID: P=28.00, I=0.05, D=12.50
# Neutral ADC: 1609
# Bounds: 120 to 3900
# Depth Offset: -0.095 m
# ------------------------------------------
Time (s),Depth (m),Pressure (kPa),Actuator (ADC),Target (ADC),State
0.00,-0.001,101.32,3824,120,2
0.03,0.000,101.33,3871,120,2
0.03,0.000,101.33,3772,120,2
0.17,-0.000,101.32,3718,120,2
0.19,0.000,101.33,3666,120,2
0.39,-0.001,101.32,3572,120,2
0.39,-0.000,101.32,3614,120,2
0.57,-0.000,101.32,3525,120,2
0.60,0.000,101.33,3481,120,2
0.74,0.000,101.33,3433,120,2
0.79,0.000,101.33,3387,120,2
0.93,-0.000,101.32,3339,120,2
0.99,0.000,101.33,3291,120,2
1.13,0.001,101.33,3241,120,2
1.19,-0.000,101.32,3190,120,2
1.29,-0.000,101.32,3140,120,2
1.39,-0.000,101.32,3090,120,2
1.51,0.000,101.33,3042,120,2
1.71,-0.001,101.32,2993,120,2
1.71,0.000,101.33,2948,120,2
2.10,0.000,101.33,2907,120,2
2.10,-0.001,101.32,2864,120,2
2.10,-0.000,101.32,2822,120,2
2.19,-0.000,101.32,2736,120,2
2.44,-0.001,101.32,2641,120,2
2.46,0.000,101.33,2689,120,2
2.51,0.000,101.33,2593,120,2
2.64,0.000,101.33,2550,120,2
2.69,0.000,101.33,2507,120,2
2.79,0.000,101.33,2459,120,2
2.89,-0.000,101.32,2412,120,2
3.20,0.000,101.33,2365,120,2
3.21,-0.000,101.32,2270,120,2
3.42,0.000,101.33,2171,120,2
3.42,0.001,101.33,2221,120,2
3.69,-0.000,101.32,2121,120,2
3.69,0.001,101.33,2072,120,2
3.69,0.000,101.33,2021,120,2
3.79,-0.000,101.32,1973,120,2
4.01,-0.001,101.32,1925,120,2
4.02,-0.000,101.32,1876,120,2
4.17,-0.001,101.32,1829,120,2
4.29,0.001,101.34,1734,120,2
4.54,0.000,101.33,1643,120,2
4.55,-0.000,101.32,1783,120,2
4.55,-0.001,101.32,1688,120,2
4.59,0.000,101.33,1602,120,2
4.79,-0.000,101.32,1517,120,2
4.79,-0.001,101.32,1558,120,2
5.11,0.000,101.33,1467,120,2
5.12,0.001,101.34,1370,120,2
5.29,0.002,101.35,1325,120,2
5.39,0.003,101.35,1238,120,2
5.53,0.005,101.38,1187,120,2
5.71,0.008,101.40,1136,120,2
5.71,0.006,101.39,1086,120,2
6.09,0.017,101.50,1039,120,2
6.09,0.017,101.49,989,120,2
6.10,0.017,101.50,939,120,2
6.37,0.027,101.60,792,120,2
6.37,0.026,101.59,840,120,2
6.39,0.028,101.61,742,120,2
6.53,0.035,101.67,696,120,2
6.67,0.042,101.75,655,120,2
6.70,0.044,101.77,610,120,2
6.83,0.053,101.86,555,120,2
6.95,0.062,101.95,504,120,2
7.06,0.068,102.01,447,120,2
7.11,0.073,102.06,393,120,2
7.27,0.088,102.22,350,120,2
7.29,0.091,102.24,302,120,2
7.40,0.102,102.36,235,120,2
7.60,0.123,102.57,191,120,2
7.60,0.123,102.57,174,120,2
7.69,0.135,102.69,174,120,2
7.89,0.161,102.95,173,120,2
7.89,0.160,102.94,174,120,2
8.10,0.190,103.24,172,120,2
8.10,0.190,103.24,172,120,2
8.30,0.222,103.56,172,120,2
8.30,0.222,103.56,172,120,2
8.44,0.246,103.80,172,120,2
8.64,0.280,104.15,174,120,2
8.69,0.289,104.24,185,120,2
8.79,0.306,104.42,186,120,2
8.89,0.326,104.61,187,120,2
8.99,0.345,104.81,187,120,2
9.11,0.367,105.03,188,120,2
9.30,0.406,105.42,188,120,2
9.30,0.407,105.43,188,120,2
9.42,0.432,105.69,188,120,2
9.61,0.471,106.08,188,120,2
9.61,0.473,106.10,188,120,2
9.69,0.490,106.27,188,120,2
9.79,0.512,106.49,189,120,2
9.89,0.535,106.72,188,120,2
