# MISSION PROFILE DATA
# Timestamp: 2026-06-25 00:02:38
# Deep Target: -- m
# Shallow Target: -- m
# Profile Count: --
# Arrival Tolerance: -- m
# Hold Duration: -- s
# PID: P=--, I=--, D=--
# Neutral ADC: --
# Bounds: -- to --
# Depth Offset: -- m
# ------------------------------------------
Time (s),Depth (m),Pressure (kPa),Actuator (ADC),Target (ADC),State
0.00,-0.000,101.32,3889,1560,2
0.09,0.000,101.33,3845,1616,2
0.12,-0.000,101.32,3786,1656,2
0.30,0.000,101.33,3732,1683,2
0.30,0.000,101.33,3680,1702,2
0.41,-0.000,101.32,3626,1716,2
0.49,0.000,101.33,3580,1725,2
0.59,0.000,101.33,3534,1732,2
0.72,0.000,101.33,3484,1737,2
0.91,-0.000,101.32,3432,1740,2
0.91,0.001,101.33,3400,1742,2
0.99,-0.001,101.32,3348,1744,2
1.10,-0.000,101.32,3295,1745,2
1.20,-0.000,101.32,3242,1746,2
1.30,-0.001,101.32,3188,1746,2
1.41,-0.000,101.32,3133,1746,2
1.49,0.000,101.33,3081,1747,2
1.59,-0.000,101.32,3029,1747,2
1.75,-0.000,101.32,2978,1747,2
1.91,0.000,101.33,2930,1747,2
1.91,-0.000,101.32,2884,1747,2
1.99,-0.001,101.32,2840,1747,2
2.09,0.000,101.33,2794,1747,2
2.20,-0.000,101.32,2748,1747,2
2.30,-0.001,101.32,2696,1747,2
2.40,0.001,101.33,2642,1747,2
2.50,-0.001,101.32,2590,1748,2
2.61,-0.000,101.32,2546,1747,2
2.73,0.000,101.33,2496,1748,2
2.93,-0.001,101.31,2446,1748,2
2.93,-0.001,101.32,2395,1748,2
2.99,0.000,101.33,2343,1747,2
3.10,-0.000,101.32,2293,1748,2
3.20,0.000,101.33,2240,1748,2
3.30,0.000,101.33,2188,1748,2
3.41,0.001,101.33,2134,1748,2
3.51,0.001,101.33,2082,1748,2
3.59,-0.000,101.32,2025,1748,2
3.74,0.000,101.33,1975,1747,2
3.92,0.000,101.33,1924,1747,2
3.92,0.001,101.34,1878,1747,2
4.00,0.000,101.33,1836,1748,2
4.10,0.001,101.33,1798,1747,2
4.21,0.002,101.35,1762,1748,2
4.31,0.003,101.36,1735,1748,2
4.39,0.002,101.35,1730,1748,2
4.50,0.003,101.36,1729,1748,2
4.60,0.005,101.37,1729,1748,2
4.73,0.007,101.40,1730,1748,2
4.89,0.010,101.43,1730,1749,2
4.91,0.011,101.44,1730,1749,2
5.00,0.013,101.46,1730,1749,2
5.10,0.014,101.47,1730,1750,2
5.20,0.017,101.50,1730,1750,2
5.30,0.020,101.52,1730,1750,2
5.41,0.022,101.54,1729,1750,2
5.51,0.025,101.58,1730,1751,2
5.61,0.029,101.62,1731,1751,2
5.77,0.034,101.67,1730,1752,2
5.90,0.039,101.71,1730,1752,2
5.91,0.039,101.72,1730,1752,2
6.01,0.043,101.76,1730,1753,2
6.11,0.047,101.80,1730,1754,2
6.20,0.050,101.83,1730,1754,2
6.30,0.055,101.88,1730,1754,2
6.40,0.059,101.92,1730,1755,2
6.50,0.063,101.96,1730,1756,2
6.61,0.067,102.01,1730,1756,2
6.74,0.075,102.08,1730,1757,2
6.92,0.085,102.18,1730,1758,2
6.92,0.085,102.18,1729,1757,2
7.00,0.090,102.23,1730,1759,2
7.11,0.095,102.28,1730,1760,2
7.21,0.100,102.33,1729,1760,2
7.31,0.105,102.39,1730,1761,2
7.42,0.113,102.46,1730,1761,2
7.50,0.118,102.51,1730,1763,2
