# MISSION PROFILE DATA
# Timestamp: 2026-06-25 15:47:08
# Deep Target: 2.50 m
# Shallow Target: 0.40 m
# Profile Count: 2
# Arrival Tolerance: 0.33 m
# Hold Duration: 30 s
# PID: P=30.00, I=0.00, D=400.00
# Neutral ADC: 1845
# Bounds: 200 to 3900
# Depth Offset: 0.000 m
# ------------------------------------------
Time (s),Depth (m),Pressure (kPa),Actuator (ADC),Target (ADC),State
0.00,0.000,101.33,1912,1882,2
0.14,-0.000,101.32,1913,200,2
0.21,-0.000,101.32,1900,200,2
0.31,-0.001,101.32,1849,200,2
0.50,0.000,101.33,1789,419,2
0.55,-0.000,101.32,1736,779,2
0.69,0.000,101.33,1686,1033,2
0.70,0.000,101.33,1641,1209,2
0.80,0.001,101.33,1610,1332,2
0.90,0.001,101.33,1585,1420,2
1.01,0.002,101.34,1567,1480,2
1.11,0.001,101.34,1562,1523,2
1.19,0.004,101.37,1554,1551,2
1.38,0.005,101.38,1536,1576,2
1.43,0.006,101.39,1533,1589,2
1.58,0.008,101.41,1536,1601,2
1.60,0.009,101.41,1554,1607,2
1.70,0.011,101.44,1581,1615,2
1.80,0.014,101.46,1608,1619,2
1.91,0.015,101.47,1621,1624,2
2.01,0.017,101.50,1626,1624,2
2.11,0.020,101.53,1626,1626,2
2.20,0.022,101.55,1625,1628,2
2.37,0.028,101.61,1626,1629,2
2.42,0.029,101.62,1626,1627,2
2.57,0.033,101.65,1626,1634,2
2.61,0.034,101.67,1626,1631,2
2.71,0.037,101.70,1626,1635,2
2.80,0.038,101.71,1626,1635,2
2.90,0.044,101.77,1626,1633,2
3.00,0.046,101.79,1626,1638,2
3.11,0.050,101.83,1627,1636,2
3.21,0.053,101.86,1626,1638,2
3.39,0.060,101.93,1626,1638,2
3.43,0.063,101.96,1625,1634,2
3.57,0.068,102.01,1625,1644,2
3.61,0.069,102.03,1625,1638,2
3.72,0.075,102.08,1626,1642,2
3.80,0.078,102.11,1626,1645,2
3.90,0.084,102.17,1626,1644,2
4.01,0.087,102.21,1625,1646,2
4.11,0.093,102.26,1626,1645,2
4.21,0.098,102.31,1626,1647,2
4.39,0.106,102.39,1626,1648,2
4.42,0.108,102.42,1626,1642,2
4.56,0.116,102.49,1625,1651,2
4.61,0.117,102.51,1626,1645,2
4.71,0.123,102.56,1626,1652,2
4.81,0.128,102.62,1626,1653,2
4.91,0.134,102.67,1626,1653,2
5.02,0.139,102.73,1626,1654,2
5.10,0.144,102.78,1626,1654,2
5.20,0.150,102.84,1625,1654,2
5.36,0.158,102.92,1626,1655,2
5.44,0.164,102.98,1626,1659,2
5.57,0.172,103.06,1625,1659,2
5.61,0.175,103.09,1626,1652,2
5.70,0.180,103.15,1626,1661,2
5.80,0.185,103.19,1626,1660,2
5.90,0.193,103.27,1626,1659,2
6.01,0.199,103.34,1626,1663,2
6.11,0.207,103.41,1626,1663,2
6.21,0.213,103.47,1626,1666,2
6.36,0.222,103.56,1626,1665,2
6.41,0.227,103.61,1626,1657,2
6.55,0.236,103.71,1626,1670,2
6.61,0.239,103.74,1626,1673,2
6.72,0.248,103.83,1626,1667,2
6.80,0.253,103.88,1625,1671,2
6.91,0.261,103.96,1626,1669,2
7.02,0.269,104.04,1626,1671,2
7.21,0.282,104.17,1626,1673,2
7.21,0.283,104.18,1626,1665,2
7.34,0.293,104.28,1627,1677,2
7.48,0.303,104.38,1646,1680,2
7.51,0.305,104.40,1666,1670,2
7.61,0.312,104.47,1686,1678,2
7.79,0.326,104.62,1691,1678,2
7.81,0.328,104.64,1691,1669,2
7.92,0.335,104.71,1690,1683,2
8.00,0.343,104.78,1691,1682,2
8.10,0.350,104.86,1691,1683,2
8.20,0.358,104.93,1690,1682,2
8.31,0.366,105.01,1691,1683,2
8.42,0.374,105.10,1691,1684,2
8.55,0.384,105.20,1691,1685,2
8.60,0.389,105.25,1691,1689,2
8.74,0.400,105.37,1691,1685,2
8.80,0.404,105.40,1691,1690,2
8.91,0.412,105.49,1691,1685,2
9.01,0.421,105.58,1691,1687,2
9.11,0.428,105.65,1691,1689,2
9.22,0.437,105.74,1691,1689,2
9.36,0.447,105.83,1691,1691,2
9.44,0.454,105.90,1690,1695,2
9.64,0.470,106.07,1692,1693,2
9.64,0.471,106.08,1692,1684,2
9.70,0.475,106.12,1691,1699,2
9.80,0.484,106.21,1691,1693,2
9.91,0.492,106.29,1692,1696,2
10.01,0.501,106.38,1691,1696,2
10.11,0.508,106.45,1691,1698,2
10.22,0.516,106.53,1691,1697,2
10.38,0.530,106.67,1691,1698,2
10.45,0.534,106.72,1691,1689,2
10.60,0.547,106.85,1691,1705,2
10.62,0.549,106.87,1690,1694,2
10.70,0.556,106.94,1691,1706,2
10.80,0.564,107.02,1691,1704,2
10.91,0.573,107.11,1691,1704,2
11.01,0.581,107.19,1691,1706,2
11.11,0.589,107.27,1690,1706,2
11.22,0.599,107.37,1691,1706,2
11.38,0.611,107.49,1691,1709,2
11.42,0.613,107.51,1691,1698,2
11.57,0.627,107.65,1691,1709,2
11.61,0.630,107.68,1691,1699,2
11.71,0.639,107.77,1691,1714,2
11.81,0.647,107.86,1691,1714,2
11.92,0.657,107.95,1690,1714,2
12.02,0.664,108.03,1691,1716,2
12.10,0.673,108.12,1691,1714,2
12.21,0.681,108.20,1691,1715,2
12.38,0.695,108.34,1691,1715,2
12.43,0.698,108.37,1691,1705,2
12.59,0.712,108.51,1691,1720,2
12.61,0.712,108.51,1691,1709,2
12.71,0.723,108.62,1691,1719,2
12.82,0.731,108.71,1691,1723,2
12.92,0.740,108.79,1691,1722,2
13.00,0.747,108.86,1691,1723,2
13.11,0.756,108.95,1690,1721,2
13.21,0.765,109.05,1691,1722,2
13.39,0.780,109.19,1691,1724,2
13.42,0.782,109.22,1691,1713,2
13.60,0.797,109.37,1691,1728,2
13.62,0.799,109.39,1692,1717,2
13.72,0.807,109.47,1691,1731,2
13.80,0.815,109.54,1691,1729,2
13.90,0.823,109.63,1691,1729,2
14.01,0.831,109.71,1691,1728,2
14.11,0.840,109.80,1691,1728,2
14.21,0.850,109.90,1691,1730,2
14.40,0.863,110.04,1691,1733,2
14.44,0.868,110.09,1691,1722,2
14.60,0.882,110.22,1691,1737,2
14.62,0.883,110.24,1691,1726,2
14.72,0.893,110.34,1691,1737,2
14.80,0.900,110.41,1691,1738,2
14.91,0.908,110.49,1691,1736,2
15.01,0.918,110.58,1691,1736,2
15.11,0.927,110.68,1690,1739,2
15.22,0.936,110.77,1691,1739,2
15.37,0.948,110.89,1691,1740,2
15.44,0.953,110.95,1691,1729,2
15.60,0.968,111.10,1690,1744,2
15.62,0.970,111.11,1716,1732,2
15.72,0.978,111.19,1730,1746,2
15.80,0.986,111.27,1738,1745,2
15.91,0.994,111.36,1738,1744,2
16.01,1.003,111.45,1738,1744,2
16.11,1.012,111.54,1737,1745,2
16.22,1.019,111.61,1737,1746,2
16.37,1.033,111.75,1738,1745,2
16.57,1.050,111.92,1738,1735,2
16.57,1.050,111.92,1738,1746,2
16.61,1.053,111.95,1738,1736,2
16.71,1.062,112.04,1738,1755,2
16.81,1.071,112.13,1737,1754,2
16.92,1.080,112.22,1738,1754,2
17.02,1.088,112.31,1738,1755,2
17.10,1.096,112.38,1738,1754,2
17.21,1.104,112.47,1738,1753,2
17.40,1.120,112.63,1738,1753,2
17.46,1.124,112.67,1738,1743,2
17.60,1.135,112.78,1737,1762,2
17.62,1.138,112.80,1738,1750,2
17.72,1.147,112.90,1737,1759,2
17.81,1.153,112.96,1738,1760,2
17.91,1.161,113.05,1738,1757,2
18.01,1.170,113.13,1738,1757,2
18.11,1.179,113.22,1738,1759,2
18.22,1.186,113.30,1737,1760,2
18.39,1.202,113.45,1738,1759,2
18.45,1.206,113.49,1737,1749,2
18.59,1.217,113.60,1737,1768,2
18.61,1.220,113.63,1738,1756,2
18.71,1.227,113.71,1738,1766,2
18.82,1.235,113.79,1738,1764,2
18.92,1.244,113.88,1738,1764,2
19.02,1.253,113.96,1737,1766,2
19.12,1.260,114.04,1737,1767,2
19.21,1.268,114.12,1738,1766,2
19.39,1.281,114.26,1738,1767,2
19.43,1.286,114.30,1737,1757,2
19.59,1.298,114.42,1738,1773,2
19.61,1.300,114.45,1738,1762,2
19.72,1.308,114.53,1739,1772,2
19.82,1.316,114.61,1738,1772,2
19.92,1.324,114.69,1738,1772,2
20.03,1.332,114.77,1738,1772,2
20.11,1.339,114.84,1737,1773,2
20.21,1.347,114.92,1738,1772,2
20.39,1.361,115.06,1738,1773,2
20.44,1.363,115.08,1737,1763,2
20.60,1.379,115.24,1737,1777,2
20.62,1.380,115.25,1738,1767,2
20.72,1.387,115.33,1738,1782,2
20.81,1.394,115.39,1738,1779,2
20.91,1.403,115.48,1738,1778,2
21.01,1.410,115.56,1738,1780,2
21.11,1.420,115.65,1738,1779,2
21.22,1.426,115.72,1738,1782,2
21.38,1.439,115.84,1738,1780,2
21.42,1.443,115.88,1738,1770,2
21.59,1.456,116.01,1738,1786,2
21.61,1.458,116.03,1738,1775,2
21.72,1.465,116.11,1738,1787,2
21.82,1.474,116.20,1738,1785,2
21.92,1.482,116.28,1738,1787,2
22.02,1.490,116.36,1737,1787,2
22.11,1.496,116.42,1738,1787,2
22.21,1.503,116.49,1738,1785,2
22.38,1.517,116.63,1738,1785,2
22.43,1.520,116.67,1738,1776,2
22.59,1.533,116.80,1742,1792,2
22.61,1.534,116.81,1755,1781,2
22.71,1.543,116.89,1773,1792,2
22.81,1.550,116.97,1772,1793,2
22.92,1.558,117.04,1773,1792,2
23.02,1.566,117.13,1773,1793,2
23.12,1.574,117.20,1774,1793,2
23.23,1.583,117.29,1773,1794,2
23.35,1.591,117.38,1773,1796,2
23.57,1.608,117.55,1773,1796,2
23.57,1.608,117.55,1773,1786,2
23.61,1.611,117.58,1773,1779,2
23.72,1.619,117.67,1773,1800,2
23.82,1.626,117.74,1773,1800,2
23.92,1.634,117.82,1773,1799,2
24.03,1.641,117.88,1773,1799,2
24.11,1.649,117.96,1773,1799,2
24.21,1.656,118.04,1774,1800,2
24.38,1.669,118.16,1773,1799,2
24.57,1.683,118.30,1773,1790,2
24.57,1.681,118.29,1773,1801,2
24.61,1.685,118.33,1773,1792,2
24.72,1.693,118.41,1773,1806,2
24.82,1.700,118.47,1773,1806,2
24.92,1.709,118.57,1774,1805,2
25.03,1.715,118.63,1773,1807,2
25.11,1.722,118.70,1773,1805,2
25.21,1.728,118.76,1773,1805,2
25.38,1.739,118.88,1773,1803,2
25.43,1.744,118.92,1773,1795,2
25.59,1.756,119.05,1773,1810,2
25.63,1.758,119.07,1773,1800,2
25.71,1.764,119.13,1773,1811,2
25.81,1.771,119.20,1774,1809,2
25.92,1.779,119.28,1773,1809,2
26.02,1.786,119.35,1773,1810,2
26.13,1.794,119.43,1773,1810,2
26.21,1.799,119.48,1772,1812,2
26.37,1.810,119.59,1773,1809,2
26.56,1.823,119.72,1773,1801,2
26.56,1.823,119.72,1773,1809,2
26.62,1.828,119.77,1772,1818,2
26.72,1.836,119.85,1773,1814,2
26.83,1.843,119.92,1773,1816,2
26.91,1.848,119.98,1773,1816,2
27.01,1.856,120.05,1773,1813,2
27.12,1.863,120.13,1773,1815,2
27.22,1.869,120.19,1773,1816,2
27.37,1.880,120.29,1772,1815,2
27.57,1.884,120.33,1774,1807,2
27.57,1.893,120.43,1773,1821,2
27.61,1.897,120.47,1773,1811,2
27.72,1.904,120.53,1772,1822,2
27.82,1.911,120.61,1774,1821,2
27.93,1.918,120.68,1774,1821,2
28.03,1.925,120.75,1773,1822,2
28.11,1.929,120.79,1773,1822,2
28.21,1.938,120.88,1772,1818,2
28.36,1.946,120.96,1773,1823,2
28.42,1.951,121.02,1774,1824,2
28.58,1.962,121.13,1795,1822,2
28.63,1.965,121.16,1809,1814,2
28.73,1.972,121.22,1813,1827,2
28.81,1.977,121.28,1813,1827,2
28.91,1.984,121.35,1813,1824,2
29.02,1.991,121.42,1813,1826,2
29.12,1.998,121.49,1813,1826,2
29.22,2.005,121.55,1813,1827,2
29.37,2.014,121.65,1812,1828,2
29.56,2.026,121.77,1813,1831,2
29.56,2.026,121.77,1813,1822,2
29.62,2.031,121.82,1813,1832,2
29.72,2.037,121.88,1813,1829,2
29.83,2.044,121.95,1813,1829,2
29.91,2.049,122.00,1813,1830,2
30.01,2.055,122.07,1813,1829,2
30.12,2.061,122.12,1813,1829,2
30.22,2.068,122.20,1813,1830,2
30.38,2.077,122.29,1813,1831,2
30.43,2.080,122.32,1813,1824,2
30.57,2.090,122.41,1813,1834,2
30.61,2.093,122.44,1813,1826,2
30.72,2.099,122.50,1813,1837,2
30.82,2.105,122.57,1813,1836,2
30.92,2.112,122.64,1813,1836,2
31.03,2.118,122.69,1813,1837,2
31.13,2.124,122.76,1813,1837,2
31.21,2.129,122.81,1813,1837,2
31.37,2.138,122.90,1813,1835,2
