# MISSION PROFILE DATA
# Timestamp: 2026-06-25 16:47:05
# Deep Target: 2.50 m
# Shallow Target: 0.55 m
# Profile Count: 2
# Deep Tolerance: 0.33 m
# Shallow Tolerance: 0.10 m
# Hold Duration: 30 s
# PID: P=95.00, I=0.00, D=1300.00
# Neutral ADC: 1850
# Bounds: 200 to 3900
# Depth Offset: 0.000 m
# ------------------------------------------
Time (s),Depth (m),Pressure (kPa),Actuator (ADC),Target (ADC),State
0.00,-0.000,101.32,1699,1738,2
0.00,0.001,101.33,1712,1158,2
0.04,0.001,101.34,1702,1550,2
0.15,0.001,101.34,1682,1550,2
0.25,0.003,101.35,1653,1550,2
0.43,0.004,101.36,1623,1550,2
0.62,0.005,101.38,1597,1550,2
0.62,0.005,101.37,1573,1550,2
0.64,0.004,101.37,1562,1550,2
0.74,0.006,101.38,1562,1549,2
0.85,0.008,101.41,1562,1550,2
0.95,0.009,101.42,1563,1550,2
1.05,0.012,101.44,1562,1550,2
1.13,0.011,101.44,1562,1551,2
1.24,0.014,101.46,1562,1549,2
1.44,0.017,101.50,1562,1551,2
1.62,0.023,101.55,1562,1550,2
1.62,0.023,101.56,1562,1551,2
1.64,0.024,101.57,1562,1552,2
1.74,0.027,101.60,1562,1551,2
1.85,0.031,101.64,1562,1551,2
1.95,0.033,101.66,1562,1552,2
2.05,0.037,101.70,1562,1552,2
2.16,0.040,101.72,1563,1553,2
2.24,0.043,101.76,1562,1553,2
2.45,0.050,101.83,1563,1553,2
2.60,0.052,101.85,1562,1552,2
2.61,0.059,101.92,1562,1555,2
2.65,0.060,101.93,1562,1555,2
2.75,0.064,101.97,1562,1554,2
2.86,0.068,102.01,1562,1555,2
2.94,0.073,102.06,1562,1555,2
3.04,0.077,102.10,1562,1556,2
3.14,0.083,102.16,1562,1556,2
3.25,0.087,102.21,1562,1557,2
3.43,0.097,102.31,1562,1557,2
3.61,0.100,102.33,1562,1560,2
3.61,0.107,102.40,1562,1558,2
3.65,0.110,102.44,1562,1560,2
3.76,0.115,102.48,1562,1559,2
3.84,0.120,102.54,1562,1560,2
3.94,0.126,102.59,1562,1561,2
4.05,0.132,102.66,1562,1561,2
4.15,0.138,102.72,1562,1562,2
4.25,0.146,102.80,1562,1563,2
4.44,0.157,102.91,1562,1564,2
4.48,0.162,102.96,1563,1562,2
4.61,0.168,103.02,1562,1568,2
4.65,0.173,103.07,1561,1566,2
4.75,0.179,103.13,1562,1566,2
4.84,0.186,103.20,1562,1567,2
4.94,0.192,103.27,1562,1568,2
5.04,0.200,103.34,1562,1568,2
5.14,0.207,103.42,1562,1570,2
5.25,0.214,103.49,1562,1570,2
5.45,0.229,103.64,1563,1571,2
5.61,0.233,103.68,1562,1569,2
5.61,0.243,103.77,1562,1576,2
5.65,0.247,103.81,1562,1575,2
5.74,0.254,103.88,1562,1573,2
5.84,0.262,103.97,1562,1575,2
5.94,0.269,104.04,1562,1576,2
6.05,0.278,104.13,1562,1577,2
6.15,0.287,104.22,1562,1578,2
6.25,0.296,104.31,1562,1579,2
6.42,0.310,104.45,1562,1580,2
6.60,0.315,104.50,1562,1583,2
6.60,0.325,104.60,1562,1581,2
6.64,0.329,104.64,1563,1583,2
6.75,0.338,104.74,1562,1582,2
6.85,0.347,104.82,1562,1584,2
6.95,0.357,104.92,1562,1585,2
7.06,0.365,105.01,1562,1587,2
7.14,0.373,105.09,1562,1587,2
