# MISSION PROFILE DATA
# Timestamp: 2026-06-26 13:57:16
# Deep Target: 0.53 m
# Shallow Target: 0.45 m
# Profile Count: 1
# Deep Tolerance: 0.33 m
# Shallow Tolerance: 0.10 m
# Hold Duration: 30 s
# PID: P=98.00, I=0.01, D=1700.00
# Neutral ADC: 1858
# Bounds: 200 to 3900
# Depth Offset: 0.000 m
# ------------------------------------------
Time (s),Depth (m),Pressure (kPa),Actuator (ADC),Target (ADC)
0.00,0.380,105.11,3481,1850
1.00,0.380,105.11,2990,1856
2.00,0.380,105.10,2540,1860
3.00,0.380,105.12,2052,1850
4.00,0.380,105.13,1815,1850
5.00,0.380,105.13,1817,1840
6.00,0.380,105.12,1829,1836
7.00,0.380,105.13,1831,1838
8.00,0.380,105.13,1829,1840
9.00,0.380,105.14,1832,1835
10.00,0.380,105.16,1829,1837
11.00,0.380,105.17,1832,1850
12.00,0.380,105.16,1832,1849
13.00,0.380,105.15,1828,1845
14.00,0.380,105.15,1829,1845
15.00,0.380,105.14,1829,1827
16.00,0.380,105.15,1830,1848
17.00,0.380,105.15,1830,1838
18.00,0.380,105.15,1832,1842
19.00,0.380,105.15,1831,1838
20.00,0.380,105.16,1830,1849
21.00,0.380,105.16,1831,1845
22.00,0.380,105.14,1828,1847
23.00,0.380,105.15,1830,1850
24.00,0.380,105.15,1830,1843
25.00,0.380,105.15,1833,1832
26.00,0.380,105.17,1831,1855
27.00,0.380,105.16,1833,1835
28.00,0.380,105.16,1831,1842
29.00,0.380,105.15,1830,1842
-1.00,0.000,0.00,0,0
-1.00,0.000,0.00,0,0
-1.00,0.000,0.00,0,0
-1.00,0.000,0.00,0,0
-1.00,0.000,0.00,0,0
-1.00,0.000,0.00,0,0
-1.00,0.000,0.00,0,0
-1.00,0.000,0.00,0,0
-1.00,0.000,0.00,0,0
-1.00,0.000,0.00,0,0
-1.00,0.000,0.00,0,0
-1.00,0.000,0.00,0,0
-1.00,0.000,0.00,0,0
-1.00,0.000,0.00,0,0
-1.00,0.000,0.00,0,0
-1.00,0.000,0.00,0,0
-1.00,0.000,0.00,0,0
-1.00,0.000,0.00,0,0
-1.00,0.000,0.00,0,0
-1.00,0.000,0.00,0,0
0.00,0.390,105.20,1831,1886
1.00,0.490,106.24,2008,1920
2.00,0.460,105.94,1778,1807
3.00,0.450,105.79,1778,1791
4.00,0.410,105.48,1779,1762
5.00,0.380,105.12,1780,1769
6.00,0.380,105.15,1846,1837
7.00,0.410,105.40,1868,2008
8.00,0.530,106.65,2059,1735
9.00,0.460,105.92,1739,1706
10.00,0.440,105.71,1808,1893
11.00,0.460,105.96,1854,1855
12.00,0.470,106.02,1855,1823
13.00,0.450,105.86,1798,1785
14.00,0.420,105.54,1790,1766
15.00,0.380,105.14,1789,1769
16.00,0.380,105.17,1837,1844
17.00,0.390,105.23,1835,1824
18.00,0.390,105.26,1835,1834
19.00,0.390,105.22,1839,1817
20.00,0.380,105.16,1836,1803
21.00,0.380,105.14,1838,1823
22.00,0.380,105.15,1836,1837
23.00,0.380,105.18,1837,1827
24.00,0.380,105.18,1833,1827
25.00,0.380,105.17,1839,1822
26.00,0.380,105.16,1834,1813
27.00,0.380,105.16,1837,1822
28.00,0.380,105.16,1836,1832
29.00,0.380,105.17,1837,1820
