# MISSION PROFILE DATA
# Timestamp: 2026-06-26 14:07:20
# Deep Target: -- m
# Shallow Target: -- m
# Profile Count: --
# Deep Tolerance: -- m
# Shallow Tolerance: -- m
# Hold Duration: -- s
# PID: P=--, I=--, D=--
# Neutral ADC: --
# Bounds: -- to --
# Depth Offset: -- m
# ------------------------------------------
Time (s),Depth (m),Pressure (kPa),Actuator (ADC),Target (ADC)
0.00,0.050,101.76,3927,1835
1.00,2.480,126.37,3751,3900
2.00,2.870,130.24,3454,2285
3.00,3.330,134.87,3116,2537
4.00,0.050,101.79,2692,1823
5.00,1.640,117.81,2694,3215
6.00,2.000,121.48,2586,2043
7.00,0.050,101.77,2108,1789
8.00,3.190,133.46,2372,3531
9.00,3.830,139.96,2819,3060
10.00,4.070,142.37,2645,2585
11.00,4.340,145.05,2527,2958
12.00,3.600,137.59,2531,200
13.00,0.050,101.76,2024,1784
14.00,0.050,101.76,1780,1793
15.00,0.050,101.76,1780,1791
0.00,0.050,101.76,3927,1835
1.00,2.480,126.37,3751,3900
2.00,2.870,130.24,3454,2285
3.00,3.330,134.87,3116,2537
4.00,0.050,101.79,2692,1823
5.00,1.640,117.81,2694,3215
6.00,2.000,121.48,2586,2043
7.00,0.050,101.77,2108,1789
8.00,3.190,133.46,2372,3531
9.00,3.830,139.96,2819,3060
10.00,4.070,142.37,2645,2585
11.00,4.340,145.05,2527,2958
12.00,3.600,137.59,2531,200
13.00,0.050,101.76,2024,1784
14.00,0.050,101.76,1780,1793
15.00,0.050,101.76,1780,1791
